x,y,z,name,country,category
95,95,13.8,BE,Belgium,Europe
86.5,102.9,14.7,DE,Germany,Europe
80.8,91.5,15.8,FI,Finland,Europe
80.4,102.5,12,NL,Netherlands,Europe
80.3,86.1,11.8,SE,Sweden,Europe
78.4,70.1,16.6,ES,Spain,Europe
74.2,68.5,14.5,FR,France,Europe
73.5,83.1,10,NO,Norway,Europe
71,93.2,24.7,UK,United Kingdom,Europe
69.2,57.6,10.4,IT,Italy,Europe
68.6,20,16,RU,Russia,Europe
65.5,126.4,35.3,US,United States,North America
65.4,50.8,28.5,HU,Hungary,Europe
63.4,51.8,15.4,PT,Portugal,Europe
64,82.9,31.3,NZ,New Zealand,Pacific
